date,fx_rate_usd_ngn
2007-07-23,125.83
2007-07-30,125.83
2007-08-06,125.83
2007-08-13,125.83
2007-08-20,125.83
2007-08-27,125.83
2007-09-03,125.83
2007-09-10,125.83
2007-09-17,125.83
2007-09-24,125.83
2007-10-01,125.83
2007-10-08,125.83
2007-10-15,125.83
2007-10-22,125.83
2007-10-29,125.83
2007-11-05,125.83
2007-11-12,125.83
2007-11-19,125.83
2007-11-26,125.83
2007-12-03,125.83
2007-12-10,125.83
2007-12-17,125.83
2007-12-24,125.83
2007-12-31,125.83
2008-01-07,118.57
2008-01-14,118.57
2008-01-21,118.57
2008-01-28,118.57
2008-02-04,118.57
2008-02-11,118.57
2008-02-18,118.57
2008-02-25,118.57
2008-03-03,118.57
2008-03-10,118.57
2008-03-17,118.57
2008-03-24,118.57
2008-03-31,118.57
2008-04-07,118.57
2008-04-14,118.57
2008-04-21,118.57
2008-04-28,118.57
2008-05-05,118.57
2008-05-12,118.57
2008-05-19,118.57
2008-05-26,118.57
2008-06-02,118.57
2008-06-09,118.57
2008-06-16,118.57
2008-06-23,118.57
2008-06-30,118.57
2008-07-07,118.57
2008-07-14,118.57
2008-07-21,118.57
2008-07-28,118.57
2008-08-04,118.57
2008-08-11,118.57
2008-08-18,118.57
2008-08-25,118.57
2008-09-01,118.57
2008-09-08,118.57
2008-09-15,118.57
2008-09-22,118.57
2008-09-29,118.57
2008-10-06,118.57
2008-10-13,118.57
2008-10-20,118.57
2008-10-27,118.57
2008-11-03,118.57
2008-11-10,118.57
2008-11-17,118.57
2008-11-24,118.57
2008-12-01,118.57
2008-12-08,118.57
2008-12-15,118.57
2008-12-22,118.57
2008-12-29,118.57
2009-01-05,148.88
2009-01-12,148.88
2009-01-19,148.88
2009-01-26,148.88
2009-02-02,148.88
2009-02-09,148.88
2009-02-16,148.88
2009-02-23,148.88
2009-03-02,148.88
2009-03-09,148.88
2009-03-16,148.88
2009-03-23,148.88
2009-03-30,148.88
2009-04-06,148.88
2009-04-13,148.88
2009-04-20,148.88
2009-04-27,148.88
2009-05-04,148.88
2009-05-11,148.88
2009-05-18,148.88
2009-05-25,148.88
2009-06-01,148.88
2009-06-08,148.88
2009-06-15,148.88
2009-06-22,148.88
2009-06-29,148.88
2009-07-06,148.88
2009-07-13,148.88
2009-07-20,148.88
2009-07-27,148.88
2009-08-03,148.88
2009-08-10,148.88
2009-08-17,148.88
2009-08-24,148.88
2009-08-31,148.88
2009-09-07,148.88
2009-09-14,148.88
2009-09-21,148.88
2009-09-28,148.88
2009-10-05,148.88
2009-10-12,148.88
2009-10-19,148.88
2009-10-26,148.88
2009-11-02,148.88
