date,fuel_diesel_ngn_litre,fuel_petrol_ngn_litre
2014-05-15,,97.0
2014-07-15,160.55555555555554,99.72222222222224
2014-08-15,157.25,100.15625
2014-09-15,157.32,101.13444444444445
2014-10-15,156.1875,101.07833333333332
2014-11-15,158.36363636363637,98.416
2014-12-15,156.575,103.53777777777778
2015-01-15,162.94444444444446,100.82222222222222
2015-02-15,155.50416666666666,92.3
2015-03-15,159.375,104.82555555555555
2015-04-15,158.54166666666666,108.06818181818181
2015-05-15,155.0,117.72
2015-06-15,178.0,115.046
2015-07-15,161.52,100.36666666666667
2015-08-15,158.63636363636363,108.36153846153846
2015-09-15,155.40615384615384,92.80285714285715
2015-10-15,145.15,87.17857142857143
2015-11-15,148.26923076923077,102.61875
2015-12-15,154.61666666666667,130.36
2016-01-15,146.8090909090909,122.67454545454548
2016-02-15,137.4375,102.07
2016-03-15,135.085,114.64888888888888
2016-04-15,134.45714285714286,134.37
2016-05-15,134.03181818181818,137.62363636363636
2016-06-15,142.53,149.172
2016-07-15,165.32,147.02083333333334
2016-08-15,170.29545454545453,145.92000000000002
2016-09-15,181.75,147.37142857142857
2016-10-15,185.25,146.3576923076923
2016-11-15,188.7,145.23555555555555
2016-12-15,197.77777777777777,147.89444444444445
2017-01-15,222.22222222222223,147.66666666666666
2017-02-15,275.42857142857144,151.29285714285714
2017-03-15,277.25,179.0
2017-04-15,248.58333333333334,154.875
2017-05-15,229.2,161.0
2017-06-15,223.5,161.0
2017-07-15,210.36363636363637,147.3
2017-08-15,195.63636363636363,152.83333333333334
2017-09-15,206.0,148.8
2017-10-15,190.25,157.0
2017-11-15,227.91875,154.92666666666668
2017-12-15,240.99375,169.78285714285715
2018-01-15,221.41166666666663,195.76
2018-02-15,218.217,198.105
2018-03-15,218.417,179.65699999999998
2018-04-15,222.99444444444444,155.70000000000002
2018-05-15,213.8225,151.3422222222222
2018-07-15,220.24166666666667,144.49375
2018-08-15,218.1288888888889,152.544
2018-09-15,227.9375,152.80555555555554
2018-10-15,209.81375,149.62333333333333
2018-11-15,231.8846153846154,149.85416666666666
2018-12-15,235.53181818181818,149.88750000000002
2019-01-15,220.93,156.13333333333333
2019-02-15,238.28,144.69666666666666
2019-03-15,236.09166666666667,145.71923076923076
2019-04-15,236.7192307692308,144.58125
2019-05-15,202.46666666666667,137.31199999999998
2019-06-15,185.61166666666668,135.6
2019-07-15,188.84333333333333,137.494
2019-08-15,235.92846153846156,144.58333333333334
2019-09-15,233.15666666666664,151.78636363636363
2019-10-15,231.66666666666663,144.34666666666666
2019-11-15,233.43333333333334,144.32916666666668
2019-12-15,232.16666666666666,144.225
2020-01-15,236.5727272727273,144.32416666666666
2020-02-15,229.79000000000002,143.97222222222223
2020-03-15,230.77272727272728,132.113
2020-04-15,226.692,125.35499999999999
2020-05-15,220.14555555555555,124.92125
2020-06-15,216.856,124.09
2020-07-15,217.8825,137.41916666666663
2020-08-15,196.12625,146.58375
2020-09-15,214.01545454545456,157.59300000000002
2020-10-15,194.20625,159.38222222222223
2020-11-15,198.351,165.82076923076923
2021-01-15,219.7090909090909,164.0090909090909
2021-02-15,228.93846153846152,164.82
2021-03-15,238.7888888888889,174.31230769230768
2021-04-15,255.78384615384616,168.0411111111111
2021-05-15,260.6045454545455,168.54999999999998
2021-06-15,254.27583333333334,167.08272727272728
2021-07-15,263.59999999999997,168.27
2021-08-15,267.7263636363636,167.119
2021-09-15,279.04357142857145,166.08692307692309
2021-10-15,277.7688888888889,165.30888888888887
2021-11-15,311.60714285714283,170.8409090909091
2021-12-15,328.8,170.82500000000002
2022-01-15,369.25,214.0
2022-02-15,383.6,213.775
2022-03-15,546.281111111111,217.0390909090909
2022-04-15,636.4309999999999,206.715
2022-05-15,672.7941666666667,191.519
2022-06-15,746.3121428571429,197.45916666666668
2022-07-15,862.6516666666666,202.13466666666667
2022-08-15,885.6577777777778,203.46615384615384
2022-09-15,851.5890909090908,199.22363636363636
2022-10-15,854.7120000000001,209.93166666666664
2022-11-15,891.027142857143,239.774
2022-12-15,903.882,283.076
2023-01-15,896.8909090909091,291.6933333333333
2024-12-15,,912.8571428571428
2025-01-15,,924.2857142857143
2026-01-15,,1128.8472222222222
2026-02-15,,1075.261304347826
2026-03-15,,1082.29875
2026-03-16,1380.0,1200.0
2026-03-23,1450.0,1250.0
2026-03-30,1420.0,1270.0
2026-04-07,1420.0,1260.0
2026-04-20,1420.0,1260.0
2026-04-27,1420.0,1260.0
2026-05-04,1400.0,1240.0
2026-05-11,1400.0,1240.0
2026-05-18,1400.0,1240.0
2026-05-25,1400.0,1240.0
2026-06-01,1380.0,1220.0
2026-06-08,1380.0,1220.0
2026-06-15,1380.0,1220.0
2026-06-22,1380.0,1220.0
2026-06-29,1380.0,1220.0
2026-07-06,1360.0,1210.0
2026-07-13,1360.0,1210.0
2026-07-20,1360.0,1210.0
2026-07-27,1360.0,1210.0
2026-08-03,1350.0,1200.0
2026-08-10,1350.0,1200.0
2026-08-17,1350.0,1200.0
2026-08-24,1350.0,1200.0
2026-08-31,1350.0,1200.0
2026-09-07,1340.0,1190.0
2026-09-14,1340.0,1190.0
2026-09-21,1340.0,1190.0
2026-09-28,1340.0,1190.0
2026-10-05,1330.0,1180.0
2026-10-12,1330.0,1180.0
