2026-04-11 15:39:04.833 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2010-08-16 | ₦91,963/MT | Below hard floor 500,000
2026-04-11 15:39:04.833 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2010-08-23 | ₦89,081/MT | Below hard floor 500,000
2026-04-11 15:39:04.834 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2010-08-30 | ₦94,270/MT | Below hard floor 500,000
2026-04-11 15:39:04.836 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2010-09-06 | ₦91,521/MT | Below hard floor 500,000
2026-04-11 15:39:04.836 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2010-09-13 | ₦95,595/MT | Below hard floor 500,000
2026-04-11 15:39:04.837 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2010-09-20 | ₦89,415/MT | Below hard floor 500,000
2026-04-11 15:39:04.838 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2010-09-27 | ₦91,215/MT | Below hard floor 500,000
2026-04-11 15:39:04.839 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2010-10-04 | ₦98,579/MT | Below hard floor 500,000
2026-04-11 15:39:04.840 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2010-10-11 | ₦100,171/MT | Below hard floor 500,000
2026-04-11 15:39:04.840 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2010-10-18 | ₦98,504/MT | Below hard floor 500,000
2026-04-11 15:39:04.840 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2010-10-25 | ₦97,660/MT | Below hard floor 500,000
2026-04-11 15:39:04.840 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2010-11-01 | ₦99,097/MT | Below hard floor 500,000
2026-04-11 15:39:04.840 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2010-11-08 | ₦95,564/MT | Below hard floor 500,000
2026-04-11 15:39:04.840 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2010-11-15 | ₦97,840/MT | Below hard floor 500,000
2026-04-11 15:39:04.840 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2010-11-22 | ₦98,618/MT | Below hard floor 500,000
2026-04-11 15:39:04.840 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2010-11-29 | ₦103,171/MT | Below hard floor 500,000
2026-04-11 15:39:04.840 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2010-12-06 | ₦101,031/MT | Below hard floor 500,000
2026-04-11 15:39:04.840 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2010-12-13 | ₦94,711/MT | Below hard floor 500,000
2026-04-11 15:39:04.840 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2010-12-20 | ₦100,972/MT | Below hard floor 500,000
2026-04-11 15:39:04.840 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2010-12-27 | ₦98,845/MT | Below hard floor 500,000
2026-04-11 15:39:04.840 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2011-01-03 | ₦117,563/MT | Below hard floor 500,000
2026-04-11 15:39:04.840 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2011-01-10 | ₦122,202/MT | Below hard floor 500,000
2026-04-11 15:39:04.853 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2011-01-17 | ₦123,712/MT | Below hard floor 500,000
2026-04-11 15:39:04.853 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2011-01-24 | ₦123,353/MT | Below hard floor 500,000
2026-04-11 15:39:04.853 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2011-01-31 | ₦116,979/MT | Below hard floor 500,000
2026-04-11 15:39:04.853 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2011-02-07 | ₦124,831/MT | Below hard floor 500,000
2026-04-11 15:39:04.853 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2011-02-14 | ₦127,252/MT | Below hard floor 500,000
2026-04-11 15:39:04.853 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2011-02-21 | ₦129,688/MT | Below hard floor 500,000
2026-04-11 15:39:04.853 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2011-02-28 | ₦124,189/MT | Below hard floor 500,000
2026-04-11 15:39:04.853 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2011-03-07 | ₦131,265/MT | Below hard floor 500,000
2026-04-11 15:39:04.853 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2011-03-14 | ₦127,619/MT | Below hard floor 500,000
2026-04-11 15:39:04.853 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2011-03-21 | ₦127,263/MT | Below hard floor 500,000
2026-04-11 15:39:04.853 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2011-03-28 | ₦135,218/MT | Below hard floor 500,000
2026-04-11 15:39:04.853 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2011-04-04 | ₦131,127/MT | Below hard floor 500,000
2026-04-11 15:39:04.853 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2011-04-11 | ₦125,728/MT | Below hard floor 500,000
2026-04-11 15:39:04.853 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2011-04-18 | ₦129,793/MT | Below hard floor 500,000
2026-04-11 15:39:04.853 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2011-04-25 | ₦127,367/MT | Below hard floor 500,000
2026-04-11 15:39:04.853 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2011-05-02 | ₦111,794/MT | Below hard floor 500,000
2026-04-11 15:39:04.853 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2011-05-09 | ₦115,236/MT | Below hard floor 500,000
2026-04-11 15:39:04.868 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2011-05-16 | ₦119,260/MT | Below hard floor 500,000
2026-04-11 15:39:04.870 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2011-05-23 | ₦113,877/MT | Below hard floor 500,000
